prevalence_rate,work_rate,sensitivity,specificity,fix_rate,break_rate,tot,Pinit,Ninit,PWinit,NWinit,TP1,FP1,TN1,FN1,Pinfix,Ninfix,PWinfix,NWinfix,Poutfix,Noutfix,PWoutfix,NWoutfix,TP2,FP2,TN2,FN2,Pout,Nout,PWout,NWout,TPout,FPout,TNout,FNout,Accuracy,Precision,Sensitivity
0.5,0,0.9746794344808963,0.05,0.8,0,10000,4930,5070,4930,5070,4806,4807,263,124,4806,4807,4806,4807,1071,8929,1071,8929,915,8251,415,32,1071,8929,1071,8929,915,8251,678,156,0.1593,0.09982544185031639,0.8543417366946778
0.5,0,0.9746794344808963,0.05,0.9,0,10000,4930,5070,4930,5070,4807,4831,239,123,4807,4831,4807,4831,584,9416,584,9416,444,8709,468,17,584,9416,584,9416,444,8709,707,140,0.1151,0.04850868567682727,0.7602739726027398
0.5,0,0.9746794344808963,0.05,1.0,0,10000,4930,5070,4930,5070,4814,4829,241,116,4814,4829,4814,4829,116,9884,116,9884,0,9144,499,0,116,9884,116,9884,0,9144,740,116,0.074,0.0,0.0
0.5,0,0.9695359714832658,0.06,0.0,0,10000,4930,5070,4930,5070,4792,4785,285,138,4792,4785,4792,4785,4930,5070,4930,5070,4624,4493,292,168,4930,5070,4930,5070,4624,4493,577,306,0.5201,0.5071843808270264,0.9379310344827586
0.5,0,0.9695359714832658,0.06,0.1,0,10000,4930,5070,4930,5070,4772,4794,276,158,4772,4794,4772,4794,4412,5588,4412,5588,4133,5019,293,121,4412,5588,4412,5588,4133,5019,569,279,0.4702,0.45159527972027974,0.9367633726201269
0.5,0,0.9695359714832658,0.06,0.2,0,10000,4930,5070,4930,5070,4766,4797,273,164,4766,4797,4766,4797,3964,6036,3964,6036,3695,5412,351,105,3964,6036,3964,6036,3695,5412,624,269,0.4319,0.4057318546173273,0.9321392532795156
0.5,0,0.9695359714832658,0.06,0.3,0,10000,4930,5070,4930,5070,4785,4773,297,145,4785,4773,4785,4773,3532,6468,3532,6468,3273,5807,364,114,3532,6468,3532,6468,3273,5807,661,259,0.3934,0.36046255506607927,0.9266704416761042
0.5,0,0.9695359714832658,0.06,0.4,0,10000,4930,5070,4930,5070,4758,4791,279,172,4758,4791,4758,4791,2998,7002,2998,7002,2733,6318,405,93,2998,7002,2998,7002,2733,6318,684,265,0.3417,0.30195558501823005,0.9116077384923282
0.5,0,0.9695359714832658,0.06,0.5,0,10000,4930,5070,4930,5070,4776,4778,292,154,4776,4778,4776,4778,2495,7505,2495,7505,2276,6814,399,65,2495,7505,2495,7505,2276,6814,691,219,0.2967,0.2503850385038504,0.9122244488977956
0.5,0,0.9695359714832658,0.06,0.6,0,10000,4930,5070,4930,5070,4781,4764,306,149,4781,4764,4781,4764,2078,7922,2078,7922,1858,7171,445,71,2078,7922,2078,7922,1858,7171,751,220,0.2609,0.20578137113744602,0.8941289701636189
0.5,0,0.9695359714832658,0.06,0.7,0,10000,4930,5070,4930,5070,4784,4790,280,146,4784,4790,4784,4790,1668,8332,1668,8332,1475,7570,482,47,1668,8332,1668,8332,1475,7570,762,193,0.2237,0.1630735212824765,0.8842925659472423
0.5,0,0.9695359714832658,0.06,0.8,0,10000,4930,5070,4930,5070,4781,4754,316,149,4781,4754,4781,4754,1088,8912,1088,8912,906,8036,560,33,1088,8912,1088,8912,906,8036,876,182,0.1782,0.10131961529859092,0.8327205882352942
0.5,0,0.9695359714832658,0.06,0.9,0,10000,4930,5070,4930,5070,4775,4781,289,155,4775,4781,4775,4781,594,9406,594,9406,422,8578,539,17,594,9406,594,9406,422,8578,828,172,0.125,0.04688888888888889,0.7104377104377104
0.5,0,0.9695359714832658,0.06,1.0,0,10000,4930,5070,4930,5070,4785,4769,301,145,4785,4769,4785,4769,145,9855,145,9855,0,8963,591,0,145,9855,145,9855,0,8963,892,145,0.0892,0.0,0.0
0.5,0,0.9643650760992954,0.07,0.0,0,10000,4930,5070,4930,5070,4766,4684,386,164,4766,4684,4766,4684,4930,5070,4930,5070,4621,4367,317,145,4930,5070,4930,5070,4621,4367,703,309,0.5324,0.5141299510458389,0.9373225152129817
0.5,0,0.9643650760992954,0.07,0.1,0,10000,4930,5070,4930,5070,4773,4695,375,157,4773,4695,4773,4695,4434,5566,4434,5566,4123,4806,385,154,4434,5566,4434,5566,4123,4806,760,311,0.4883,0.46175383581588086,0.9298601714027965
0.5,0,0.9643650760992954,0.07,0.2,0,10000,4930,5070,4930,5070,4739,4706,364,191,4739,4706,4739,4706,3990,6010,3990,6010,3671,5230,416,128,3990,6010,3990,6010,3671,5230,780,319,0.4451,0.4124255701606561,0.9200501253132832
0.5,0,0.9643650760992954,0.07,0.3,0,10000,4930,5070,4930,5070,4756,4716,354,174,4756,4716,4756,4716,3487,6513,3487,6513,3201,5720,439,112,3487,6513,3487,6513,3201,5720,793,286,0.3994,0.3588162762022195,0.917981072555205
0.5,0,0.9643650760992954,0.07,0.4,0,10000,4930,5070,4930,5070,4762,4683,387,168,4762,4683,4762,4683,3034,6966,3034,6966,2784,6144,435,82,3034,6966,3034,6966,2784,6144,822,250,0.3606,0.3118279569892473,0.9176005273566249
0.5,0,0.9643650760992954,0.07,0.5,0,10000,4930,5070,4930,5070,4759,4699,371,171,4759,4699,4759,4699,2573,7427,2573,7427,2318,6558,498,84,2573,7427,2573,7427,2318,6558,869,255,0.3187,0.2611536728255971,0.9008938981733385
0.5,0,0.9643650760992954,0.07,0.6,0,10000,4930,5070,4930,5070,4772,4713,357,158,4772,4713,4772,4713,2070,7930,2070,7930,1849,7058,515,63,2070,7930,2070,7930,1849,7058,872,221,0.2721,0.20758953631974852,0.8932367149758454
0.5,0,0.9643650760992954,0.07,0.7,0,10000,4930,5070,4930,5070,4740,4728,342,190,4740,4728,4740,4728,1642,8358,1642,8358,1398,7456,560,54,1642,8358,1642,8358,1398,7456,902,244,0.23,0.15789473684210525,0.8514007308160779
0.5,0,0.9643650760992954,0.07,0.8,0,10000,4930,5070,4930,5070,4746,4697,373,184,4746,4697,4746,4697,1121,8879,1121,8879,900,7890,616,37,1121,8879,1121,8879,900,7890,989,221,0.1889,0.10238907849829351,0.8028545941123997
0.5,0,0.9643650760992954,0.07,0.9,0,10000,4930,5070,4930,5070,4767,4743,327,163,4767,4743,4767,4743,614,9386,614,9386,442,8427,632,9,614,9386,614,9386,442,8427,959,172,0.1401,0.04983650918931108,0.7198697068403909
0.5,0,0.9643650760992954,0.07,1.0,0,10000,4930,5070,4930,5070,4745,4684,386,185,4745,4684,4745,4684,185,9815,185,9815,0,8765,664,0,185,9815,185,9815,0,8765,1050,185,0.105,0.0,0.0
0.5,0,0.9591663046625439,0.08,0.0,0,10000,4930,5070,4930,5070,4750,4665,405,180,4750,4665,4750,4665,4930,5070,4930,5070,4569,4288,377,181,4930,5070,4930,5070,4569,4288,782,361,0.5351,0.515863159083211,0.9267748478701826
0.5,0,0.9591663046625439,0.08,0.1,0,10000,4930,5070,4930,5070,4740,4671,399,190,4740,4671,4740,4671,4478,5522,4478,5522,4108,4735,388,180,4478,5522,4478,5522,4108,4735,787,370,0.4895,0.4645482302386068,0.9173738276016079
0.5,0,0.9591663046625439,0.08,0.2,0,10000,4930,5070,4930,5070,4719,4673,397,211,4719,4673,4719,4673,4006,5994,4006,5994,3640,5123,474,155,4006,5994,4006,5994,3640,5123,871,366,0.4511,0.41538285975122674,0.90863704443335
0.5,0,0.9591663046625439,0.08,0.3,0,10000,4930,5070,4930,5070,4735,4686,384,195,4735,4686,4735,4686,3539,6461,3539,6461,3220,5561,516,124,3539,6461,3539,6461,3220,5561,900,319,0.412,0.36670083134039405,0.909861542808703
0.5,0,0.9591663046625439,0.08,0.4,0,10000,4930,5070,4930,5070,4727,4668,402,203,4727,4668,4727,4668,2991,7009,2991,7009,2671,6066,541,117,2991,7009,2991,7009,2671,6066,943,320,0.3614,0.3057113425660982,0.8930123704446673
0.5,0,0.9591663046625439,0.08,0.5,0,10000,4930,5070,4930,5070,4748,4632,438,182,4748,4632,4748,4632,2596,7404,2596,7404,2314,6411,555,100,2596,7404,2596,7404,2314,6411,993,282,0.3307,0.26521489971346707,0.8913713405238829
0.5,0,0.9591663046625439,0.08,0.6,0,10000,4930,5070,4930,5070,4733,4686,384,197,4733,4686,4733,4686,2074,7926,2074,7926,1807,6917,625,70,2074,7926,2074,7926,1807,6917,1009,267,0.2816,0.2071297569922054,0.8712632594021215
0.5,0,0.9591663046625439,0.08,0.7,0,10000,4930,5070,4930,5070,4729,4664,406,201,4729,4664,4729,4664,1599,8401,1599,8401,1335,7346,649,63,1599,8401,1599,8401,1335,7346,1055,264,0.239,0.15378412625273585,0.8348968105065666
0.5,0,0.9591663046625439,0.08,0.8,0,10000,4930,5070,4930,5070,4736,4662,408,194,4736,4662,4736,4662,1102,8898,1102,8898,882,7823,667,26,1102,8898,1102,8898,882,7823,1075,220,0.1957,0.10132107983917289,0.8003629764065335
0.5,0,0.9591663046625439,0.08,0.9,0,10000,4930,5070,4930,5070,4738,4674,396,192,4738,4674,4738,4674,666,9334,666,9334,448,8227,711,26,666,9334,666,9334,448,8227,1107,218,0.1555,0.05164265129682997,0.6726726726726727
0.5,0,0.9591663046625439,0.08,1.0,0,10000,4930,5070,4930,5070,4724,4677,393,206,4724,4677,4724,4677,206,9794,206,9794,0,8650,751,0,206,9794,206,9794,0,8650,1144,206,0.1144,0.0,0.0
0.5,0,0.9539392014169457,0.09,0.0,0,10000,4930,5070,4930,5070,4706,4589,481,224,4706,4589,4706,4589,4930,5070,4930,5070,4477,4196,393,229,4930,5070,4930,5070,4477,4196,874,453,0.5351,0.5161997002190707,0.9081135902636917
0.5,0,0.9539392014169457,0.09,0.1,0,10000,4930,5070,4930,5070,4712,4591,479,218,4712,4591,4712,4591,4461,5539,4461,5539,4052,4601,459,191,4461,5539,4461,5539,4052,4601,938,409,0.499,0.46827689818560037,0.9083165209594262
0.5,0,0.9539392014169457,0.09,0.2,0,10000,4930,5070,4930,5070,4697,4590,480,233,4697,4590,4697,4590,3985,6015,3985,6015,3566,5011,524,186,3985,6015,3985,6015,3566,5011,1004,419,0.457,0.4157630873265711,0.8948557089084065
0.5,0,0.9539392014169457,0.09,0.3,0,10000,4930,5070,4930,5070,4699,4638,432,231,4699,4638,4699,4638,3509,6491,3509,6491,3120,5523,536,158,3509,6491,3509,6491,3120,5523,968,389,0.4088,0.3609857688302673,0.8891422057566258
0.5,0,0.9539392014169457,0.09,0.4,0,10000,4930,5070,4930,5070,4692,4638,432,238,4692,4638,4692,4638,3073,6927,3073,6927,2682,5918,577,153,3073,6927,3073,6927,2682,5918,1009,391,0.3691,0.3118604651162791,0.8727627725349821
0.5,0,0.9539392014169457,0.09,0.5,0,10000,4930,5070,4930,5070,4714,4613,457,216,4714,4613,4714,4613,2570,7430,2570,7430,2242,6384,589,112,2570,7430,2570,7430,2242,6384,1046,328,0.3288,0.2599118942731278,0.8723735408560311
0.5,0,0.9539392014169457,0.09,0.6,0,10000,4930,5070,4930,5070,4710,4596,474,220,4710,4596,4710,4596,2068,7932,2068,7932,1759,6821,637,89,2068,7932,2068,7932,1759,6821,1111,309,0.287,0.20501165501165503,0.8505802707930368
0.5,0,0.9539392014169457,0.09,0.7,0,10000,4930,5070,4930,5070,4703,4622,448,227,4703,4622,4703,4622,1604,8396,1604,8396,1314,7237,711,63,1604,8396,1604,8396,1314,7237,1159,290,0.2473,0.15366623786691616,0.8192019950124688
