,Recall Values
92,47.0 76.9 69.6 48.4 84.1 38.8 63.2 51.2 52.1 70.5 77.7 40.1 83.7 38.3 71.7 51.8 53.2 71.7 76.0 42.9 86.5 39.8 79.4 52.8 47.5 75.5 50.0 70.2 92.5 33.3 69.8 37.6 49.4 76.3 58.7 65.8 84.4 38.3 72.3 51.6 49.4 77.0 60.4 66.7 84.6 37.1 76.0 43.5 24.9 80.8 46.2 56.3 88.8 23.0 34.2 69.7 39.8 65.6 53.6 46.7 77 25.2 39.1 68.0 37.2 66.9 50.0 48.9 77.1 26.3 53.4 42.9 33.6 68.0 34.3 67.3 64.5 44.8 40.4 50.8 36.0 70.6 40.8 65.4 62.6 33.8 40.0 54.6 35.7 71.7 45.5 63.0 56.6 44.7 65.3 48.4
93,47.26 49.80 46.93 77.66 49.22 50.98 78.14 78.82 50.98 50.38 80.41 84.74 47.35 48.10 64.69 81.46
94,91.1 87.7 90.8 97.8 78.6 71.2 74.6 81.0 79.0 84.7 74.2 99.0 98.1 97.2 94.0 93.5 93.6 96.8 98 98.6 93.8 93.2 93.2 98.6 98.8 95.9 89.4 87.2 88.4 96.8 97.0 96.6 91.1 90.8 89.2 98.1 98.1 96.9 80.5 81.3 79.2 81.9 91.2 89.9 80.2 79.0 77.7 85.7 74.3 75.8 75.6 77.0 81.2 84.7 94.1 99.6 91.4 90.9 90.6 89.0 90.0 88.0 90.9 86.7 91.7 89.8 97.6 98.3 97.3 96.8 97.5 90.5 91.1 89.8 89.0 88.8 90.7 93.4
96,54 97 75  
100,75.85 75.1 75.75 77.85 78.45 80.65 77.85 78.45 74.05 76.65 77.85 76.7 75.2 74.2 74 76.15 77.85 77.5 77.75 77.85 74.15
104,66.7 70.4 83.9 81.5 70.4 79.6 80.4 73.2 91.1 59.2 55.9 84.2
105,8.33 90.19 06.22 89.90 0.91 58.35
106,62.10 63.86 64.86 65.86 68.20 66.82 66.82 66.02 65.74 68.20 68.80 67.14
108,76 99 99 91 87 90 82 46 77 71 47 84 85 94 88 35 45 53 76 77 77 60 75 51 55 78 65 89 90 95 88 97 94 100 96 100 94 84 89 94 92 93
112,99.2 90.3 92.9 89.1 91.6 85.4 91.0 90.4 88.7 88.9 99.2 98.8 88.2 32.7 88.2 36 85.4 94.6 96.8 99.1 99.2 98.2 99.2 99.3 99.2 69.6 72.6 85.7 85.3 72.4 45 59.2 44.2 66.9 78.3 73.6 72.8 76.7 73.8 74.8 75.2 74.8 
113,78.9 72.1 75.0 90.5 67.6 66.9
114,50.54 49.99 51.69 53.82 54.11 54.81 65.41 70.50 80.89 82.63 92.40 50.54 49.85 44.07 46.30 47.28 52.09 60.95 54.17 82.61
118,48.11 60.89 100.0 94.64 82.16 100.05 2.98 67.35 88.07 95.07 96.74 97.89
119,99 99 96 99 100 100
120,76.69 71.54 88.16 74.15 98.17 80.82 69.19 85.81 77.34 94.88 77.01 71.41 86.70 74.59 97.58 68.08 52.61 60.48 61.42 75.71 68.01 58.66  63.29 60.10 75.51 55.12 68.47 90.92 71.31 98.19 77.50 65.28 91.09 75.08 98.25 75.45 67.09 77.01 76.45 91.97 88.26 70.99 76.48 98.02 98.08
121,90.59 92.31 83.43 84.53 89.74 86.31 86.31 78.26 76.48 83.41 82.83 85.25 85.25 71.27 77.82 77.82 83.41 84.71 84.62 64.60 61.37 84.62 69.73 69.73 69.57 59.68 67.79 64.68 69.56 69.56 61.33 62.59 62.59 66.82 66.82
122,49.9 80.3 94.5 56.6 80.8 85.3 74.6 91.3 96.0 97.4 92.7 96.4 96.1 94.9 8.8 41.2 62.2 12.2 39.3 43.0 34.0 37.6 58.0 66.1 44.3 58.6 58.5 57.1 53.9 83.8 96.1 60.2 85.4 85.3 77.5 94.1 97.0 98.1 94.9 96.4 96.4 96.2 16.7 50.3 70.1 17.5 50.7 50.0 42.6 49.9 66.8 73.6 55.0 64.8 64.8 62.5
123,86.2 90.1 88.4 100 100 96.3 88.4 100 100 97.1 90.8 100 
126,97 93 98 94 97 99 97 88 99 94 94 
137,60 60 60 40 40
139,85.92 87.10 94.32 96.56 53.14 73.60 84.09 91.86
143,60
144,54.8 17.0 58.4 29.0 82.0 57.6 56.0 50.7 19.7 7.8 2.8 95.3 3.1 77.5 73.1 39.2 42.7 36.4 5.0 7.2 97.5 0.0 86.6 73.4 20.4 41.4 39.3
149,57 56.4 100 60.0 0 0 77.8 98.4 91.8 100 10.9 0 48.2 60.0
153,92.11 89.72 89.58 89.26 90.17
155,13.69 13.10 11.90 43.99 42.97 41.75
158,91.28 87.46 88.46 88.54 88.94 87.90 88.31 91.86 93.10 90.29 91.84 86.84 78.41 89.72 86.65 88.89 88.24 78.95 93.33 93.75 81.25 91.30 100.00 100.00 100.00 91.28 88.24 88.24 93.33 78.57 92.31 87.50 84.21 92.86 92.31 84.21 87.90 100.00 90.48 89.47 94.44 90.00 90.48 85.71 85.00 93.75 100.00 91.84 
160,71 73.3 69.3 90.8 66.9 66.7 71.3 85.5 81.5 74.2 70.4 74.2 80.4 79.7 73.2 72.2
164,8.09 9.34 4.40 9.56 17.56 53.97 12.77 19.60 21.37 26.93 12.13 15.40 9.30 18.34 28.59 60.26 23.56 33.27 29.15 43.66 20.72 28.78 19.64 31.00 49.36 70.00 40.69 52.18 53.99 66.14 49.25 58.08 47.80 57.37 72.95 84.10 75.45 81.68 74.25 89.74 57.57 67.43 58.39 66.66 74.49 88.97 83.56 88.42 82.09 94.25
165,98.4 99.8 98 99.5 98.1 99.5 87.7 85 87.3 80.2 81 83
167,95.7 81.2 80.4 97.8 97.8 62.1 94.7 91.4 91.1
168,86
169,78.14 85.63 82.29 73.11 84.06 73.01 67.93 74.32 76.23 68.55 73.21 68.95 82.08 86.71 93.64 85.31 87.13 90.30 96.67 93.33 90.00 90.38 89.69 88.63 85.19 90.57 87.54 86.11 94.95 92.43 93.51 88.31 98.25 89.24 90.21 93.51 100 100 100 100 100 100 95.16 98.57 95.71 93.31 97.50 90.00 97.06 94.12 98.04 96.50 95.38 94.37 94.52 91.78 97.26 91.33 92.13 98.63 95.15 97.44 99.83 94.23 98.37 98.93 93.82 93.15 96.99 91.42 98.36 94.03 77.33 93.75 77.32 80.31 79.25 78.04 95.01 95.51 93.03 91.11 94.02 92.37 92.46 95.33 96.88 88.28 92.64 97.65 95.44 94.46 98.70 89.57 98.05 99.67 87.04 99.62 65.30 93.33 99.62 97.90 94.98 95.37 96.99 92.08 98.36 93.77
170,84.22 90.47
172,24.39 41.46 40.24 47.56 50.00 57.32 67.07 78.05 68.29 71.95 54.63 20.00 30.00 35.00 40.00 50.00 65.00 70.00 85.00 90.00 80.00 56.50 23.40 48.94 55.32 82.98 89.36 87.23 87.23 89.36 87.23 89.36 74.04 33.72 43.02 47.67 54.65 60.47 74.42 77.91 77.91 77.91 80.23 62.79 34.41 74.19 86.02 76.34 78.49 77.42 79.57 79.57 88.17 84.95
173,78.6 79.8 63.9 74.7 84.3 85.8
174,96.2 95.6 95 94.8 94.5 93.3 93 93 92.7 91.5 89.8 88.6 87.5 86.6 86.6 86.3 85.1 85.1 81 77.8 77.6 66.8 66.8 66.8 66.8 66.8 66.8 66.8 66.8 63.6 33.2 33.2 95.3 95.1 95.1 95.1 95.1 95.1 94.9 94.9 94.2 93.8 95.1 91.8 91.3 88.9 88.9 86.2 84.7 84.4 84 84 75.8 75.6 66.7 66.7 66.7 66.7 66.7 66.7 66.7 66.7 33.3 33.3 0.818 81.8 81.8 81.8 81.5 81.5 81.5 81.3 79.9 79.9 79.7 79.4 78.4 78.4 78.1 76.3 76 75 74.5 72.1 69.3 68.2 66.7 66.7 66.7 66.7 66.7 66.7 66.7 66.7 33.3 33.3
175,94 61 80 84 10 71 61 61 58 25 57 61 21 9 100 93 51 0 12 0 98 61 87 92 0 57 68 100 86 41
176,98.7 96.8 97.8 99.3 93.7 96.5 98.7 94.7 96.7 99.9 100 99.9 99.6 96.1 97.8 99.9 99.9 99.9 99.7 98.2 98.9
177,24 72 90 94 49 89 1 97 6 73 92 98 81 99
179,95.45 90.90 95.00 93.10 90.26 90.10 91.10 95.45 68.18 98.10 94.44 75.10 65.10 81.20 77.27 86.10 72.10 62.10 54.10 47.20 48.42 63.34 48.45 56.18 60.10 53.10 53.10 55.10 59.10 50.20 61.10 56.20
180,29 77 53
182,99.6 69.3 99.2 65.3 99.6 77.0 99.9 36.0 99.3 66.2 99.7 50.4 99.6 63.9
183,63.43 97.07 94.24 96.50 97.47 95.14 97.88 95.76 97.50 96.97 98.62 99.80 99.47 91.80 99.38 97.40 100 100 100 99.70
184,97.96 84.33 95.73 98.70 98.62 98.88 99.06 92.35 96.69 97.61 99.53 98.66 96.98 83.74 95.00 98.38 97.67 98.99 99.21
186,83.32 71.17 77.32 28.84 88.05 100.00 100.00 100.00 66.26 54.60 42.46 40.73 46.14 66.55 79.18 57.25 16.03 83.18 59.65 7.14 0.36 83.91 73.43 74.35 52.41 96.97 69.89
188,53.00 59.00 37.00 41.00 51.00 55.00 86.00 42.00 46.00 72.00 37.00 29.00 29.00 65.00 51.00 53.00 86.00 55.00 57.00 84.00 52.0 54.00 84.00 86.00 85.00 88.00 86.00 85.00 83.00 82.0 87.0 88.0 84.0 82.0 87.0 86.0 87.0 82
189,85 90 95 96 72 52
191,62 68 75 73 82 77 82 84
192,90 98 95 98
193,76.6 95.6 85.0 96.8 74.1 93.8 52.9 95.8 95.2 97.8 61.5 95.7 65.2 94.8 75.2 93.6 73.2 91.8 92.3 96.5
197,78.00 81.00
