first_prev_rate,final_prev_rate,prev_rate_div,fn_div,fn_rate_first,fn_rate_final,fn_div_rate,real_fix_rate,work_rate,sensitivity,specificity,fix_rate,break_rate,tot,Pinit,Ninit,PWinit,NWinit,TP1,FP1,TN1,FN1,Pinfix,Ninfix,PWinfix,NWinfix,Poutfix,Noutfix,PWoutfix,NWoutfix,num_magic,not_vulnerable,still_vulnerable,num_magic_special,num_magic_special_1,ignored,TP2,FP2,TN2,FN2,through_fixer,vulnerable,not_vuln,Pout,Nout,PWout,NWout,TPout,FPout,TNout,FNout,ppv_value,npv_value,TPoutadj,FPoutadj,TNoutadj,FNoutadj,real_fix_rate_adj,Accuracy,Precision,Sensitivity
0.1,0.07255,0.7255,1.458128078817734,0.3048048048048048,0.6119917298414886,2.0078152318937508,0.27449999999999997,1,0.688229611895866,0.5882296118958661,0.9,0.0,20000,1937,18063,1937,18063,1389,7501,10501,609,1345,7545,1345,7545,721,19279,721,19279,8890,8006,884,0,0,11110,563,3187,4861,279,8890,129,8761,0,0,0,0,563,3187,15362,888,0.15662359258783387,0.9443846844040491,587.338472204377,3162.661527795623,15346.251121565798,903.7488784342021,0.25445632468071044,0.79625,0.15013333333333334,0.38800827015851136
0.1,0.0759,0.7589999999999999,1.4789644012944985,0.3029411764705882,0.6021080368906456,1.9875410926487334,0.2410000000000001,1,0.688229611895866,0.5882296118958661,1,0.0,20000,1937,18063,1937,18063,1422,7343,10617,618,1330,7435,1330,7435,607,19393,607,19393,8765,8765,0,0,0,11235,604,2975,4890,296,8765,0,8765,0,0,0,0,604,2975,15507,914,0.15662359258783387,0.9443846844040491,560.5558378718574,3018.4441621281426,15507.74090259889,913.2590974011097,0.2630925323635165,0.80555,0.16876222408493993,0.39789196310935443
0.1,0.0645,0.645,1.3992172211350293,0.2528451261751608,0.5542635658914729,2.1921069797782127,0.355,1,0.7390776205581799,0.6390776205581798,0.5,0.0,20000,1937,18063,1937,18063,1510,6448,11531,511,1449,6509,1449,6509,1219,18781,1219,18781,7958,3909,4049,0,0,12042,575,2615,4564,204,7958,731,7227,0,0,0,0,575,2615,16095,715,0.18535424246646684,0.9566042195269134,591.2800334680293,2598.719966531971,16080.516930247415,729.4830697525852,0.3396184483896927,0.8335,0.18025078369905956,0.44573643410852715
0.1,0.06625,0.6625,1.4136029411764706,0.26745329400196655,0.580377358490566,2.170013873473918,0.3375,1,0.7390776205581799,0.6390776205581798,0.7,0.0,20000,1937,18063,1937,18063,1490,6490,11476,544,1460,6520,1460,6520,932,19068,932,19068,7980,5629,2351,0,0,12020,556,2476,4723,225,7980,455,7525,0,0,0,0,556,2476,16199,769,0.18535424246646684,0.9566042195269134,561.9940631583274,2470.005936841673,16231.660396932668,736.3396030673329,0.35083316688717003,0.83775,0.18337730870712401,0.41962264150943396
0.1,0.06455,0.6455,1.4228571428571428,0.2636865896534405,0.5786212238574748,2.1943521080004427,0.35450000000000004,1,0.7390776205581799,0.6390776205581798,0.9,0.0,20000,1937,18063,1937,18063,1466,6566,11443,525,1444,6588,1444,6588,624,19376,624,19376,8032,7260,772,0,0,11968,544,2418,4848,222,8032,131,7901,0,0,0,0,544,2418,16291,747,0.18535424246646684,0.9566042195269134,549.0192661856747,2412.9807338143255,16298.622692299552,739.3773077004489,0.3558017130569382,0.84175,0.1836596893990547,0.42137877614252517
0.1,0.06305,0.6305,1.4576271186440677,0.260549558390579,0.6137985725614592,2.3557843519402146,0.36950000000000005,1,0.7390776205581799,0.6390776205581798,1,0.0,20000,1937,18063,1937,18063,1507,6462,11500,531,1440,6529,1440,6529,497,19503,497,19503,7969,7969,0,0,0,12031,487,2364,4875,243,7969,0,7969,0,0,0,0,487,2364,16375,774,0.18535424246646684,0.9566042195269134,528.4449452718969,2322.555054728103,16404.805760667037,744.1942393329615,0.3636804076975707,0.8431,0.17081725710277096,0.38620142743854086
0.1,0.06865,0.6865,1.4202898550724639,0.26602409638554214,0.5710123816460306,2.1464686447744814,0.3135,1,0.7145899238317468,0.6145899238317467,0.5,0.0,20000,1937,18063,1937,18063,1523,6875,11050,552,1402,6996,1402,6996,1222,18778,1222,18778,8398,4259,4139,0,0,11602,589,2781,4796,232,8398,687,7711,0,0,0,0,589,2781,15846,784,0.17082046139464188,0.950932809888193,575.6649548999432,2794.335045100057,15814.012628440649,815.9873715593512,0.3041738367703529,0.82175,0.17477744807121662,0.4289876183539694
0.1,0.06915,0.6915,1.4381625441696113,0.28862825089240185,0.5885755603759942,2.039216738334496,0.3085,1,0.7145899238317468,0.6145899238317467,0.7,0.0,20000,1937,18063,1937,18063,1395,6943,11096,566,1355,6983,1355,6983,989,19011,989,19011,8338,5808,2530,0,0,11662,569,2787,4734,248,8338,407,7931,0,0,0,0,569,2787,15830,814,0.17082046139464188,0.950932809888193,573.2734684404181,2782.726531559582,15827.325687779083,816.6743122209165,0.30502610966933286,0.81995,0.1695470798569726,0.41142443962400577
0.1,0.0661,0.661,1.4225092250922509,0.2735991923271075,0.5832072617246596,2.1316117813220496,0.33899999999999997,1,0.7145899238317468,0.6145899238317467,0.9,0.0,20000,1937,18063,1937,18063,1439,6881,11138,542,1374,6946,1374,6946,704,19296,704,19296,8320,7512,808,0,0,11680,551,2693,4847,229,8320,141,8179,0,0,0,0,551,2693,15985,771,0.17082046139464188,0.950932809888193,554.1415767642183,2689.8584232357816,15933.830162486562,822.1698375134389,0.31184429286117143,0.8268,0.16985203452527745,0.4167927382753404
0.1,0.06605,0.6605,1.483271375464684,0.27561475409836067,0.6040878122634368,2.191783289104514,0.3395,1,0.7145899238317468,0.6145899238317467,1,0.0,20000,1937,18063,1937,18063,1414,6993,11055,538,1382,7025,1382,7025,555,19445,555,19445,8407,8407,0,0,0,11593,523,2723,4901,260,8407,0,8407,0,0,0,0,523,2723,15956,798,0.17082046139464188,0.950932809888193,554.4832176870076,2691.5167823129923,15931.928296866785,822.0717031332152,0.3117225395898886,0.82395,0.16112138016019717,0.3959121877365632
0.1,0.11145,1.1144999999999998,1.5760233918128654,0.5019569471624267,0.7254374158815612,1.4452183996704784,-0.11449999999999982,1,0.5,0.4,0.5,0.0,20000,1937,18063,1937,18063,1018,10824,7132,1026,1015,10827,1015,10827,1426,18574,1426,18574,11842,5853,5989,0,0,8158,612,6415,4224,591,11842,504,11338,0,0,0,0,612,6415,11356,1617,0.0847457627118644,0.8780487804878049,595.5084745762712,6431.4915254237285,11390.926829268292,1582.0731707317073,-0.08879082265398908,0.5984,0.08709264266401025,0.27456258411843876
