first_prev_rate,final_prev_rate,prev_rate_div,fn_div,fn_rate_first,fn_rate_final,fn_div_rate,real_fix_rate,work_rate,sensitivity,specificity,fix_rate,break_rate,tot,Pinit,Ninit,PWinit,NWinit,TP1,FP1,TN1,FN1,Pinfix,Ninfix,PWinfix,NWinfix,Poutfix,Noutfix,PWoutfix,NWoutfix,num_magic,not_vulnerable,still_vulnerable,num_magic_special,num_magic_special_1,ignored,TP2,FP2,TN2,FN2,through_fixer,vulnerable,not_vuln,Pout,Nout,PWout,NWout,TPout,FPout,TNout,FNout,ppv_value,npv_value,TPoutadj,FPoutadj,TNoutadj,FNoutadj,real_fix_rate_adj,Accuracy,Precision,Sensitivity
0.1,0.0493,0.49299999999999994,1.3540983606557377,0.15450861195542046,0.41886409736308317,2.71094337113025,0.5070000000000001,1,0.8436863603746289,0.743686360374629,0.5,0.0,20000,1937,18063,1937,18063,1669,4572,13454,305,1676,4565,1676,4565,1115,18885,1115,18885,6241,3107,3134,0,0,13759,573,1470,4090,108,6241,854,5387,0,0,0,0,573,1470,17544,413,0.2677936578000495,0.977178794410341,547.1024428855011,1495.8975571144988,17547.199611226493,409.8003887735076,0.5215485841704957,0.90585,0.28046989720998533,0.5811359026369168
0.1,0.04625,0.46249999999999997,1.2758620689655173,0.15870646766169155,0.44,2.772413793103448,0.5375000000000001,1,0.8436863603746289,0.743686360374629,0.7,0.0,20000,1937,18063,1937,18063,1691,4593,13397,319,1622,4662,1622,4662,817,19183,817,19183,6284,4397,1887,0,0,13716,518,1431,4247,88,6284,502,5782,0,0,0,0,518,1431,17644,407,0.2677936578000495,0.977178794410341,521.9298390522964,1427.0701609477035,17639.054417901065,411.9455820989356,0.533062289424384,0.9081,0.26577732170343765,0.56
0.1,0.04295,0.4295,1.397212543554007,0.14755784061696658,0.4668218859138533,3.1636535473952776,0.5705,1,0.8436863603746289,0.743686360374629,0.9,0.0,20000,1937,18063,1937,18063,1658,4664,13391,287,1619,4703,1619,4703,490,19510,490,19510,6322,5661,661,0,0,13678,458,1258,4492,114,6322,172,6150,0,0,0,0,458,1258,17883,401,0.2677936578000495,0.977178794410341,459.5339167848849,1256.466083215115,17866.737076998674,417.26292300132616,0.5616015801068945,0.91705,0.2668997668997669,0.5331781140861467
0.1,0.04125,0.4125,1.3624161073825503,0.15119228817858954,0.4921212121212121,3.254935936546675,0.5875,1,0.8436863603746289,0.743686360374629,1,0.0,20000,1937,18063,1937,18063,1673,4676,13353,298,1660,4689,1660,4689,277,19723,277,19723,6349,6349,0,0,0,13651,419,1153,4669,108,6349,0,6349,0,0,0,0,419,1153,18022,406,0.2677936578000495,0.977178794410341,420.9716300616778,1151.0283699383222,18007.450823393763,420.54917660623704,0.5792395966660426,0.92205,0.26653944020356235,0.5078787878787879
0.1,0.0482,0.482,1.25625,0.1597603594608088,0.4170124481327801,2.6102372925311204,0.518,1,0.8455254308817093,0.7455254308817093,0.5,0.0,20000,1937,18063,1937,18063,1683,4509,13488,320,1629,4563,1629,4563,1141,18859,1141,18859,6192,3044,3148,0,0,13808,562,1535,4013,82,6192,833,5359,0,0,0,0,562,1535,17501,402,0.269636571316233,0.9774956307297978,565.4278900501406,1531.5721099498594,17500.10427695557,402.8957230444293,0.515838193452715,0.90315,0.268001907486886,0.58298755186722
0.1,0.04515,0.4515,1.3741007194244603,0.1487426431246656,0.4230343300110742,2.8440689309017904,0.5485,1,0.8455254308817093,0.7455254308817093,0.7,0.0,20000,1937,18063,1937,18063,1591,4527,13604,278,1637,4481,1637,4481,810,19190,810,19190,6118,4240,1878,0,0,13882,521,1326,4167,104,6118,510,5608,0,0,0,0,521,1326,17771,382,0.269636571316233,0.9774956307297978,498.0187472210823,1348.9812527789177,17744.47818463802,408.52181536197986,0.546729718708469,0.9146,0.2820790471034109,0.5769656699889258
0.1,0.0445,0.44499999999999995,1.3020527859237536,0.16650390625,0.49887640449438203,2.9961843882829746,0.555,1,0.8455254308817093,0.7455254308817093,0.9,0.0,20000,1937,18063,1937,18063,1707,4443,13509,341,1657,4493,1657,4493,458,19542,458,19542,6150,5513,637,0,0,13850,446,1282,4319,103,6150,178,5972,0,0,0,0,446,1282,17828,444,0.269636571316233,0.9774956307297978,465.9319952344506,1262.0680047655494,17860.800164694865,411.1998353051339,0.5614340847302077,0.9137,0.25810185185185186,0.501123595505618
0.1,0.0435,0.43499999999999994,1.345029239766082,0.16922315685304304,0.5287356321839081,3.124487463870404,0.5650000000000001,1,0.8455254308817093,0.7455254308817093,1,0.0,20000,1937,18063,1937,18063,1679,4552,13427,342,1612,4619,1612,4619,325,19675,325,19675,6231,6231,0,0,0,13769,410,1160,4543,118,6231,0,6231,0,0,0,0,410,1160,17970,460,0.269636571316233,0.9774956307297978,423.3294169664858,1146.6705830335143,18015.244474350173,414.75552564982587,0.5809575286918442,0.919,0.2611464968152866,0.47126436781609193
0.1,0.03285,0.32849999999999996,err,0.0,0.0,err,0.6715,1,1.0,0.9,0.5,0.0,20000,1937,18063,1937,18063,1971,1816,16213,0,1937,1850,1937,1850,998,19002,998,19002,3787,1866,1921,0,0,16213,657,593,2537,0,3787,998,2789,0,0,0,0,657,593,18750,0,0.5263157894736842,1.0,657.8947368421052,592.1052631578948,18750.0,0.0,0.6710526315789473,0.97035,0.5256,1.0
0.1,0.0241,0.241,err,0.0,0.0,err,0.759,1,1.0,0.9,0.7,0.0,20000,1937,18063,1937,18063,1973,1811,16216,0,1937,1847,1937,1847,591,19409,591,19409,3784,2637,1147,0,0,16216,482,422,2880,0,3784,591,3193,0,0,0,0,482,422,19096,0,0.5263157894736842,1.0,475.7894736842105,428.2105263157895,19096.0,0.0,0.7621052631578947,0.9789,0.5331858407079646,1.0
