first_prev_rate,final_prev_rate,prev_rate_div,fn_div,fn_rate_first,fn_rate_final,fn_div_rate,real_fix_rate,work_rate,sensitivity,specificity,fix_rate,break_rate,tot,Pinit,Ninit,PWinit,NWinit,TP1,FP1,TN1,FN1,Pinfix,Ninfix,PWinfix,NWinfix,Poutfix,Noutfix,PWoutfix,NWoutfix,num_magic,not_vulnerable,still_vulnerable,num_magic_special,num_magic_special_1,ignored,TP2,FP2,TN2,FN2,through_fixer,vulnerable,not_vuln,Pout,Nout,PWout,NWout,TPout,FPout,TNout,FNout,ppv_value,npv_value,TPoutadj,FPoutadj,TNoutadj,FNoutadj,final_prev_rate_adj,prev_rate_div_adj,real_fix_rate_adj,Accuracy,Precision,Sensitivity,Specificity
0.1,0.03355,0.3355,1.0492091388400704,0.29375322663913267,0.8897168405365127,3.028790017784227,0.6645,1,0.7,0.6,0.9,0.0,20000,1937,18063,1937,18063,1368,7121,10942,569,1368,7121,1368,7121,671,19329,671,19329,8489,7696,793,0,0,11511,74,3400,4987,28,8489,102,8387,671,19329,671,19329,74,3400,15929,597,0.16600663899341145,0.9488739956690884,576.7070638631113,2897.292936136889,15681.091652427354,844.9083475726457,0.07108077057178784,0.7108077057178783,0.2891922942821217,0.80015,0.021301093839953943,0.7062467733608673,0.6057686984443337
0.1,0.0298,0.298,1.0,0.3076923076923077,1.0,3.25,0.702,1,0.7,0.6,1,0.0,20000,1937,18063,1937,18063,1341,7234,10829,596,1341,7234,1341,7234,596,19404,596,19404,8575,8575,0,0,0,11425,0,3433,5142,0,8575,0,8575,596,19404,596,19404,0,3433,15971,596,0.16112573034209002,0.9460501999260778,553.144632264395,2879.855367735605,15673.21366217533,893.7863378246699,0.07234654850445324,0.7234654850445323,0.27653451495546766,0.79855,0.0,0.6923076923076923,0.5995128162542214
0.1,0.0565,0.565,1.4553314121037464,0.17914300464636035,0.4469026548672566,2.4946698630486344,0.43500000000000005,1,0.8090044431797172,0.7090044431797172,0.5,0.0,20000,1937,18063,1937,18063,1590,5240,12823,347,1590,5240,1590,5240,1130,18870,1130,18870,6830,3469,3361,0,0,13170,625,1758,4289,158,6830,783,6047,1130,18870,1130,18870,625,1758,17112,505,0.23919703230864828,0.9727260444463939,570.0065279915088,1812.9934720084912,17136.514725012123,480.48527498787905,0.0525245901489694,0.525245901489694,0.47475409851030603,0.88685,0.2622744439781788,0.8208569953536397,0.709904224104523
0.1,0.0426,0.426,1.2101063829787233,0.19411461022199278,0.534037558685446,2.751145614823694,0.5740000000000001,1,0.8090044431797172,0.7090044431797172,0.7,0.0,20000,1937,18063,1937,18063,1561,5175,12888,376,1561,5175,1561,5175,852,19148,852,19148,6736,4661,2075,0,0,13264,397,1846,4414,79,6736,476,6260,852,19148,852,19148,397,1846,17302,455,0.23812041770927533,0.970658223312169,534.1040969219046,1708.8959030780954,17235.978071354184,521.021928645815,0.05275630127838598,0.5275630127838598,0.47243698721614025,0.88495,0.17699509585376727,0.8058853897780073,0.71350274040857
0.1,0.02705,0.2705,1.06,0.20650490449148168,0.7837338262476895,3.7952310536044362,0.7295,1,0.8090044431797172,0.7090044431797172,0.9,0.0,20000,1937,18063,1937,18063,1537,5272,12791,400,1537,5272,1537,5272,541,19459,541,19459,6809,6116,693,0,0,13191,117,1963,4705,24,6809,141,6668,541,19459,541,19459,117,1963,17496,424,0.23199567288626594,0.9686148389026031,482.5509996034331,1597.4490003965668,17357.57791313465,562.4220868653517,0.052248654323439246,0.5224865432343925,0.4775134567656075,0.88065,0.05625,0.7934950955085184,0.708132646847146
0.1,0.0189,0.189,1.0,0.19514713474445017,1.0,5.124338624338625,0.8109999999999999,1,0.8090044431797172,0.7090044431797172,1,0.0,20000,1937,18063,1937,18063,1559,5340,12723,378,1559,5340,1559,5340,378,19622,378,19622,6899,6899,0,0,0,13101,0,1985,4914,0,6899,0,6899,378,19622,378,19622,0,1985,17637,378,0.23224454449521706,0.97013568857372,461.00542082300586,1523.9945791769942,17476.994429655566,538.005570344434,0.049950549558372,0.49950549558372,0.5004945044162801,0.88185,0.0,0.8048528652555498,0.7043680451752201
0.1,0.0571,0.571,1.4595375722543353,0.17862674238513165,0.44220665499124345,2.4755904356012675,0.42900000000000005,1,0.807686343039562,0.707686343039562,0.5,0.0,20000,1937,18063,1937,18063,1591,5347,12716,346,1591,5347,1591,5347,1142,18858,1142,18858,6938,3477,3461,0,0,13062,637,1785,4357,159,6938,796,6142,1142,18858,1142,18858,637,1785,17073,505,0.2356510671812146,0.9725799253663745,570.7468847129018,1851.2531152870981,17096.00992809013,481.9900719098691,0.05263684783113854,0.5263684783113853,0.47363152168861467,0.8855,0.2630057803468208,0.8213732576148683,0.7039805126501688
0.1,0.0414,0.414,1.2583333333333333,0.1858544140423335,0.5471014492753623,2.943709742351047,0.5860000000000001,1,0.807686343039562,0.707686343039562,0.7,0.0,20000,1937,18063,1937,18063,1577,5291,12772,360,1577,5291,1577,5291,828,19172,828,19172,6868,4756,2112,0,0,13132,375,1865,4535,93,6868,468,6400,828,19172,828,19172,375,1865,17307,453,0.23595559646230507,0.9716234666688451,528.5405360755634,1711.4594639244367,17256.03276803869,503.96723196131035,0.05162538840184369,0.5162538840184369,0.48374611598156314,0.8841,0.16741071428571427,0.8141455859576665,0.7070807728505786
0.1,0.02655,0.2655,1.0797872340425532,0.19411461022199278,0.7645951035781544,3.938884881997035,0.7344999999999999,1,0.807686343039562,0.707686343039562,0.9,0.0,20000,1937,18063,1937,18063,1561,5219,12844,376,1561,5219,1561,5219,531,19469,531,19469,6780,6120,660,0,0,13220,125,1910,4715,30,6780,155,6625,531,19469,531,19469,125,1910,17559,406,0.23658784500680785,0.9705606656300008,481.45626458885397,1553.543735411146,17436.122358042965,528.8776419570363,0.05051669532729451,0.505166953272945,0.49483304672705497,0.8842,0.06142506142506143,0.8058853897780073,0.7110668216796767
0.1,0.0173,0.173,1.0,0.17862674238513165,1.0,5.598265895953757,0.827,1,0.807686343039562,0.707686343039562,1,0.0,20000,1937,18063,1937,18063,1591,5306,12757,346,1591,5306,1591,5306,346,19654,346,19654,6897,6897,0,0,0,13103,0,2007,4890,0,6897,0,6897,346,19654,346,19654,0,2007,17647,346,0.23704034018914458,0.9726656424742305,475.73996275961315,1531.260037240387,17501.172905038828,491.82709496117087,0.04837835288603921,0.48378352886039205,0.516216471139608,0.88235,0.0,0.8213732576148683,0.7062503460111831
